Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for bsd-amd64 JRE (1.8.0_291-b10), built on Apr  8 2021 02:17:24 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 11.0.0 (clang-1100.0.33.17)
Memory: 4k page, physical 16777216k(107496k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=209715200 -XX:MaxTenuringThreshold=15 -XX:NewSize=209715200 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=20971520 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
72.808: [GC (Allocation Failure) 72.808: [ParNew: 94164K->10240K(153600K), 0.0012418 secs] 95119K->11194K(256000K), 0.0013455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
73.825: [GC (Allocation Failure) 73.825: [ParNew: 104404K->20480K(153600K), 0.0028323 secs] 105359K->21434K(256000K), 0.0030080 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
74.839: [GC (Allocation Failure) 74.839: [ParNew: 114644K->30720K(153600K), 0.0042834 secs] 115599K->31674K(256000K), 0.0044311 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
76.861: [GC (Allocation Failure) 76.861: [ParNew: 124884K->0K(153600K), 0.0007868 secs] 125839K->954K(256000K), 0.0009145 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.874: [GC (Allocation Failure) 77.874: [ParNew: 94164K->10240K(153600K), 0.0021051 secs] 95119K->11194K(256000K), 0.0023705 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
78.891: [GC (Allocation Failure) 78.892: [ParNew: 104404K->10240K(153600K), 0.0015311 secs] 105359K->11194K(256000K), 0.0021239 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
79.908: [GC (Allocation Failure) 79.908: [ParNew: 104404K->10240K(153600K), 0.0014459 secs] 105359K->11194K(256000K), 0.0016332 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.925: [GC (Allocation Failure) 80.925: [ParNew: 104404K->0K(153600K), 0.0016332 secs] 105359K->954K(256000K), 0.0018238 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
81.937: [GC (Allocation Failure) 81.937: [ParNew: 94164K->10240K(153600K), 0.0012887 secs] 95119K->11194K(256000K), 0.0014988 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
82.952: [GC (Allocation Failure) 82.953: [ParNew: 104404K->20480K(153600K), 0.0027614 secs] 105359K->21434K(256000K), 0.0029247 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
83.968: [GC (Allocation Failure) 83.968: [ParNew: 114644K->30720K(153600K), 0.0035140 secs] 115599K->31674K(256000K), 0.0036352 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
85.979: [GC (Allocation Failure) 85.981: [ParNew: 124884K->0K(153600K), 0.0012470 secs] 125839K->954K(256000K), 0.0032103 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.994: [GC (Allocation Failure) 86.994: [ParNew: 94164K->10240K(153600K), 0.0007637 secs] 95119K->11194K(256000K), 0.0008729 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
88.011: [GC (Allocation Failure) 88.011: [ParNew: 104404K->10240K(153600K), 0.0011980 secs] 105359K->11194K(256000K), 0.0013245 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.029: [GC (Allocation Failure) 89.029: [ParNew: 104404K->10240K(153600K), 0.0026995 secs] 105359K->11194K(256000K), 0.0028133 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
90.044: [GC (Allocation Failure) 90.044: [ParNew: 104404K->0K(153600K), 0.0006310 secs] 105359K->954K(256000K), 0.0007515 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
91.053: [GC (Allocation Failure) 91.053: [ParNew: 94164K->10240K(153600K), 0.0108145 secs] 95119K->11194K(256000K), 0.0109482 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
92.074: [GC (Allocation Failure) 92.075: [ParNew: 104404K->20480K(153600K), 0.0071619 secs] 105359K->21434K(256000K), 0.0076860 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
93.094: [GC (Allocation Failure) 93.094: [ParNew: 114644K->30720K(153600K), 0.0083337 secs] 115599K->31674K(256000K), 0.0084738 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
